text,label
"Verify your account immediately by clicking http://secure-login-update.com",phishing
"Congratulations! You won a free iPhone. Claim now.",phishing
"Your bank account has been suspended. Login to restore access.",phishing
"Update your password urgently using https://verify-now.com",phishing
"Security alert! Click here to avoid account closure.",phishing
"Meeting scheduled tomorrow at 10 AM.",safe
"Please find attached the project report.",safe
"Thank you for your purchase. Your receipt is attached.",safe
"Team meeting moved to Monday.",safe
"Hello, can we discuss the assignment today?",safe
